seed,distance,model,split,recall_at_k,ndcg_at_k
73,category_price_t0.1,svd_256,validation,0.3698742757242757,0.494181097385235
73,category_price_t0.1,svd_256,test,0.36775309135309137,0.49063888761119906
73,category_price_t0.1,svd_32,validation,0.18608794816294819,0.2389427150206261
73,category_price_t0.1,svd_32,test,0.1869715021090021,0.23829139669382915
73,category_price_t0.1,personal_frequency,validation,0.3453225857475858,0.4676746289069372
73,category_price_t0.1,personal_frequency,test,0.34402742257742264,0.4651269651778449
73,category_price_t0.1,popularity,validation,0.03852848262848263,0.038492517440142746
73,category_price_t0.1,popularity,test,0.03755442612942613,0.037368205495582146
73,category_price_t0.1,random,validation,0.0006967698967698968,0.0007555604716674417
73,category_price_t0.1,random,test,0.0007167304917304917,0.0008162143494174663
73,timestamp_1d,svd_32,test,0.07413932733932733,0.12302836888236662
211,category_price_t0.1,svd_256,validation,0.37147770424020427,0.4957730976144329
211,category_price_t0.1,svd_256,test,0.3782336177711178,0.4975736488347785
211,category_price_t0.1,svd_32,validation,0.16633616938616935,0.20748259984278514
211,category_price_t0.1,svd_32,test,0.16504438339438338,0.20489724899388573
211,category_price_t0.1,personal_frequency,validation,0.35154809079809074,0.4742058329320794
211,category_price_t0.1,personal_frequency,test,0.35738147824397826,0.47704122320930425
211,category_price_t0.1,popularity,validation,0.032122748085248086,0.03263556668782835
211,category_price_t0.1,popularity,test,0.03239372155622155,0.03235580639058294
211,category_price_t0.1,random,validation,0.0006348651348651349,0.0007384475023226589
211,category_price_t0.1,random,test,0.0006684093684093684,0.0008741944032397584
211,timestamp_1d,svd_32,test,0.0767181485181485,0.1300583649175513
907,category_price_t0.1,svd_256,validation,0.3662653013653014,0.49019891727630244
907,category_price_t0.1,svd_256,test,0.3702453948828949,0.4925445183983664
907,category_price_t0.1,svd_32,validation,0.17400846098346096,0.2219764297475298
907,category_price_t0.1,svd_32,test,0.17593879870129872,0.22243337019604242
907,category_price_t0.1,personal_frequency,validation,0.3429523226773227,0.4659465254240346
907,category_price_t0.1,personal_frequency,test,0.34682519702519704,0.46818172854745727
907,category_price_t0.1,popularity,validation,0.030106958319458317,0.029816387537673517
907,category_price_t0.1,popularity,test,0.02963470140970141,0.02976524520344982
907,category_price_t0.1,random,validation,0.0010480852480852481,0.001336452752798235
907,category_price_t0.1,random,test,0.000943516206016206,0.0008886339052776495
907,timestamp_1d,svd_32,test,0.07501856893106892,0.12619999612774185
