distance,seed,temperature,n_source_rows,n_catalog,n_users,unique_train_median,unique_train_p10,mean_top_product_share,train_catalog_coverage,category_tvd,same_category_share,generation_seconds
timestamp_0.125d,42,10800.0,41387,14314,1000,42.0,31.0,0.0873999999999999,0.7635880955707699,0.0156405013306455,0.1152,3.2110635860008188
timestamp_0.5d,42,43200.0,41387,14314,1000,57.0,50.0,0.0525142857142857,0.844907083973732,0.0061051675992116,0.0831571428571428,2.7270661590155214
timestamp_1d,42,86400.0,41387,14314,1000,62.0,57.0,0.0433714285714285,0.8623026407712728,0.007043254438074,0.0781142857142857,2.6757202700246125
timestamp_3d,42,259200.0,41387,14314,1000,66.0,62.0,0.0361571428571428,0.8762749755484142,0.0076129419520967,0.0733571428571428,2.7362784859724343
uniform,42,1.0,41387,14314,1000,69.0,67.0,0.0257142857142857,0.8851474081318988,0.0067335491821103,0.0689,4.541976412991062
category,42,0.15,41387,14314,1000,60.0,49.900000000000006,0.0608285714285714,0.8822132178286992,0.043043143292062,0.976,4.732742277963553
category_price_t0.1,42,0.1,41387,14314,1000,40.0,21.0,0.1724714285714285,0.8121419589213358,0.0419327932511589,0.9994428571428572,4.946425713947974
category_price_t0.2,42,0.2,41387,14314,1000,51.0,35.0,0.1147571428571428,0.8495878161240743,0.0483856518092292,0.9071714285714284,4.990323018981144
category_price_t0.4,42,0.4,41387,14314,1000,65.0,58.0,0.0518571428571428,0.8624423641190443,0.0597979662350841,0.4763428571428571,5.540156094997656
category_price_time_t0.2,42,0.2,41387,14314,1000,32.0,15.0,0.2294714285714285,0.6929579432723209,0.0445711358639186,0.9251714285714284,7.315510335960425
category_price_time_t0.4,42,0.4,41387,14314,1000,59.0,47.0,0.0825999999999999,0.8414140002794467,0.057912626463106,0.5025,8.113333596033044
timestamp_0.125d,137,10800.0,41387,14314,1000,42.0,31.0,0.0852714285714285,0.7688975827860836,0.010092537684366,0.1095571428571428,3.3696349330130038
timestamp_0.5d,137,43200.0,41387,14314,1000,58.0,50.0,0.0514571428571428,0.8565739835126449,0.0074194011922308,0.0830428571428571,3.2292753549991176
timestamp_1d,137,86400.0,41387,14314,1000,62.0,56.900000000000006,0.0426285714285714,0.867262819617158,0.0100319713919829,0.0776,3.644290782976896
timestamp_3d,137,259200.0,41387,14314,1000,66.0,62.0,0.0348857142857142,0.8782311024172139,0.0094390288185731,0.0744857142857142,2.950111867976375
uniform,137,1.0,41387,14314,1000,69.0,67.0,0.0255142857142857,0.8874528433701272,0.0071832197135746,0.0658142857142857,6.414156084996648
category,137,0.15,41387,14314,1000,60.0,48.0,0.0626571428571428,0.8768338689394998,0.0644654063215157,0.9769714285714286,5.399932049040217
category_price_t0.1,137,0.1,41387,14314,1000,39.0,18.0,0.1739285714285714,0.810674863769736,0.0660796920358014,0.9993857142857144,5.135941774002276
category_price_t0.2,137,0.2,41387,14314,1000,51.0,32.0,0.1176428571428571,0.8436495738437892,0.0603938072341556,0.9038428571428572,5.253348097030539
category_price_t0.4,137,0.4,41387,14314,1000,65.0,58.0,0.0515428571428571,0.8700572865725863,0.0476104705066118,0.4658571428571428,5.1141879460192285
category_price_time_t0.2,137,0.2,41387,14314,1000,31.0,15.0,0.2375714285714285,0.7024591309207768,0.06395112060723,0.9246285714285716,7.233792698010802
category_price_time_t0.4,137,0.4,41387,14314,1000,59.0,45.0,0.0835571428571428,0.849448092776303,0.048295941789865,0.4996714285714285,7.533964930975344
timestamp_0.125d,2026,10800.0,41387,14314,1000,42.0,31.0,0.0873142857142857,0.7656140841134553,0.0127276291036867,0.1123714285714285,3.935033062996808
timestamp_0.5d,2026,43200.0,41387,14314,1000,57.0,50.0,0.0526714285714285,0.8473522425597317,0.0079408824026868,0.0818,2.9511152299819514
timestamp_1d,2026,86400.0,41387,14314,1000,62.0,57.0,0.0428142857142857,0.8704764566159006,0.0070934651667707,0.0773714285714285,2.9101216950220987
timestamp_3d,2026,259200.0,41387,14314,1000,66.0,62.0,0.0358571428571428,0.8826323878720134,0.0074738565249957,0.0719,3.065857941983268
uniform,2026,1.0,41387,14314,1000,69.0,67.0,0.0259,0.8897582786083554,0.006538332947889,0.0635142857142857,5.377850031945854
category,2026,0.15,41387,14314,1000,60.0,48.0,0.0613714285714285,0.885356993153556,0.0459370713371003,0.9751428571428572,5.787349427992012
category_price_t0.1,2026,0.1,41387,14314,1000,39.0,21.90000000000001,0.1690285714285714,0.813748777420707,0.0495376501938151,0.9991571428571429,5.00935887300875
category_price_t0.2,2026,0.2,41387,14314,1000,51.0,35.0,0.1146,0.8426715104093894,0.0399606615603933,0.9042285714285714,5.260757351992652
category_price_t0.4,2026,0.4,41387,14314,1000,65.0,58.0,0.05127142857142857,0.8668436495738437,0.043381688867104584,0.46654285714285715,5.326757080969401
category_price_time_t0.2,2026,0.2,41387,14314,1000,31.0,16.0,0.23705714285714286,0.6892552745563784,0.04144637584610764,0.9227,7.543171550962143
category_price_time_t0.4,2026,0.4,41387,14314,1000,59.0,46.0,0.08498571428571428,0.844907083973732,0.04408168886710458,0.49884285714285714,6.935199217987247
