distance,seed,model,fit_seconds,recall_at_k,ndcg_at_k
category_price_t0.1,42,svd_128,0.7716318599996157,0.33464008214008206,0.44274804225024356
category_price_t0.1,42,svd_256,1.5424830049742013,0.36446477133977134,0.48895873094975517
category_price_t0.1,42,svd_384,2.314904792991001,0.36185730103230107,0.48465572454549233
category_price_t0.1,42,personal_frequency,0.13016858999617398,0.3463021922521922,0.4672618424273943
category_price_t0.15,42,svd_128,0.5919791529886425,0.30304341769341775,0.4248185158816397
category_price_t0.15,42,svd_256,1.3984850590350106,0.308906240981241,0.4341358907210408
category_price_t0.15,42,svd_384,2.3441039340104908,0.3023275391275391,0.4251811939583427
category_price_t0.15,42,personal_frequency,0.13782958703814074,0.2847723526473526,0.40521475358473164
category_price_t0.2,42,svd_128,0.6161498330184259,0.2547380619380619,0.38460936551850783
category_price_t0.2,42,svd_256,1.4776437630061992,0.25174061494061495,0.3811427088148298
category_price_t0.2,42,svd_384,2.352686831029132,0.24343485125985126,0.3710944669393883
category_price_t0.2,42,personal_frequency,0.08790788700571284,0.22730646020646023,0.35298019287160853
category_price_t0.1,137,svd_128,0.5783292400301434,0.3363489982239983,0.4401436042226465
category_price_t0.1,137,svd_256,1.470961560960859,0.371447113997114,0.4917674237574649
category_price_t0.1,137,svd_384,2.2719994519720785,0.36827377344877343,0.48919192738100015
category_price_t0.1,137,personal_frequency,0.08645067102042958,0.35047216394716396,0.4681287480101294
category_price_t0.15,137,svd_128,0.507031217974145,0.3085195054945055,0.42397513110257284
category_price_t0.15,137,svd_256,1.4721688809804618,0.3158027944277944,0.4403104360898956
category_price_t0.15,137,svd_384,2.2351860069902614,0.3095871794871795,0.43271721856064405
category_price_t0.15,137,personal_frequency,0.10828293097438291,0.2963665501165501,0.41665847547257
category_price_t0.2,137,svd_128,0.5507590789929964,0.25980970973470974,0.3829085421939127
category_price_t0.2,137,svd_256,1.6405124110169709,0.2565277084027084,0.38300045088253964
category_price_t0.2,137,svd_384,2.270156542013865,0.24821362526362528,0.3725533481165741
category_price_t0.2,137,personal_frequency,0.14654089300893247,0.23328030025530025,0.35604973498945763
category_price_t0.1,2026,svd_128,0.5384128890000284,0.3319317044067044,0.4403438933427038
category_price_t0.1,2026,svd_256,1.4315446880063973,0.3672615939615939,0.49077564937732904
category_price_t0.1,2026,svd_384,2.264918881992344,0.3635893856143856,0.4854249667899477
category_price_t0.1,2026,personal_frequency,0.11332938395207748,0.3473245143745144,0.4659864433492999
category_price_t0.15,2026,svd_128,0.5383261209935881,0.30262899600399595,0.4284897780202221
category_price_t0.15,2026,svd_256,1.4278748369542882,0.30845649073149073,0.43796795153122303
category_price_t0.15,2026,svd_384,2.2529021079535596,0.30368298923298925,0.42947519030068726
category_price_t0.15,2026,personal_frequency,0.11592584999743849,0.29092953990453985,0.41529648865883767
category_price_t0.2,2026,svd_128,0.5351892940234393,0.25630834165834165,0.3883997763012959
category_price_t0.2,2026,svd_256,1.4413393060094677,0.2535899184149184,0.3837669187692161
category_price_t0.2,2026,svd_384,2.55472292000195,0.24791596459096463,0.3763425483206803
category_price_t0.2,2026,personal_frequency,0.1047867689630948,0.23419884282384282,0.36209940128126517
