проверка,число,знаменатель,единица
Подтверждение раньше покупки,0,84116,заказ
Перевозчик раньше покупки,148,84128,заказ
Доставка раньше покупки,0,84124,заказ
Перевозчик раньше подтверждения,1193,84114,заказ
Доставка раньше перевозчика,23,84123,заказ
price < 0,0,96068,позиция
freight_value < 0,0,96068,позиция
product_name_lenght < 0,0,94531,позиция
product_description_lenght < 0,0,94531,позиция
product_photos_qty < 0,0,94531,позиция
product_weight_g < 0,0,96050,позиция
product_length_cm < 0,0,96050,позиция
product_height_cm < 0,0,96050,позиция
product_width_cm < 0,0,96050,позиция
price = 0,0,96068,позиция
freight_value = 0,168,96068,позиция
product_weight_g = 0,8,96050,позиция
product_photos_qty = 0,0,94531,позиция
customer: вне грубой рамки Бразилии,4,95821,позиция
customer: несовпадение штата и геосправочника,0,95821,позиция
seller: вне грубой рамки Бразилии,0,95821,позиция
seller: несовпадение штата и геосправочника,445,95821,позиция
