,тип,пропуски,"пропуски, %",уникальных
order_id,str,0,0.0,84130
order_item_id,int64,0,0.0,21
customer_id,str,0,0.0,84130
customer_unique_id,str,0,0.0,81541
product_id,str,0,0.0,30991
price,float64,0,0.0,5390
freight_value,float64,0,0.0,6709
order_status,str,0,0.0,1
order_purchase_timestamp,datetime64[us],0,0.0,83702
order_approved_at,datetime64[us],15,0.015613940125744265,77822
order_delivered_carrier_date,datetime64[us],2,0.0020818586834325686,71187
order_delivered_customer_date,datetime64[us],6,0.006245576050297706,83482
order_estimated_delivery_date,datetime64[us],0,0.0,445
customer_zip_code_prefix,string,0,0.0,14462
customer_city,str,0,0.0,3924
customer_state,str,0,0.0,27
customer_geolocation_lat,float64,247,0.2571095474039222,14326
customer_geolocation_lng,float64,247,0.2571095474039222,14324
customer_geolocation_city,str,247,0.2571095474039222,3869
customer_geolocation_state,str,247,0.2571095474039222,27
seller_zip_code_prefix,string,0,0.0,2130
seller_city,str,0,0.0,588
seller_state,str,0,0.0,22
seller_geolocation_lat,float64,247,0.2571095474039222,2123
seller_geolocation_lng,float64,247,0.2571095474039222,2123
seller_geolocation_city,str,247,0.2571095474039222,538
seller_geolocation_state,str,247,0.2571095474039222,21
product_category_name,str,1537,1.599908398217929,73
product_name_lenght,float64,1537,1.599908398217929,65
product_description_lenght,float64,1537,1.599908398217929,2918
product_photos_qty,float64,1537,1.599908398217929,19
product_weight_g,float64,18,0.01873672815089312,1982
product_length_cm,float64,18,0.01873672815089312,99
product_height_cm,float64,18,0.01873672815089312,102
product_width_cm,float64,18,0.01873672815089312,94
